B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
0.0486561369329564,0.0884862578717081,0.0527904345327984,0.115705621819609,0.242236704314926,0.272933368867292,0.289933207442932,0.274611098389293,0.261417422810849,0.160129332741345
0.0374734201127713,0.0523273173671899,0.0512737978857418,0.0787285770148612,0.192211444561137,0.285656109660667,0.326739426271979,0.350421788161569,0.174890729164009,0.114326991383477
0.0409816992907873,0.0597163877293833,0.0492456063020618,0.0920927118515619,0.249395537101494,0.300045655478316,0.338271274440485,0.337438681747278,0.22001994524082,0.130372526169132
0.0580471105158824,0.0902013077426298,0.0678730192667686,0.127083277988098,0.281780875660066,0.339481001570409,0.393995938468901,0.388883052771408,0.28259583625246,0.182151470953495
0.0572819561849736,0.0837565561075559,0.0647596831506811,0.115958595282925,0.160909796714736,0.167955905849737,0.184721010511216,0.189558070129173,0.227817674484599,0.167311922719684
0.0566230981103744,0.0885113205582446,0.0630854122850566,0.113472540507197,0.164057941075223,0.166567002363363,0.184307466045776,0.191475525992313,0.232022117482078,0.157898271924878
0.0448191253963952,0.0623945075622581,0.053782878862572,0.0796540184080638,0.0999444465893987,0.112549704875279,0.111054215939827,0.126358113065589,0.189290198842642,0.135884806163243
0.0231125682182718,0.035013136800314,0.0261672767991152,0.0551518035770577,0.19044942091695,0.277147174550579,0.308856913572247,0.311334177920959,0.149274290160941,0.0690590461341784
0.0478610426573482,0.077877852657121,0.056758534366876,0.106350285209683,0.2649928295085,0.348884205870052,0.367066177670221,0.395897049513886,0.262868559513233,0.148335337494082
0.0470291613111639,0.070332873573727,0.0585179946378128,0.108946188896069,0.259488860744166,0.323586567056764,0.363318591168515,0.401491315122669,0.247946360012582,0.150977961555759
0.0336041893130401,0.0413495266435896,0.0465168553881557,0.0543466386092405,0.0686828993157342,0.0782772117229416,0.0884818415287314,0.087795791059658,0.170322168828316,0.1266331204548
0.0310911092681884,0.0459415540447607,0.0469408040015912,0.0696073106881078,0.174694445335305,0.255717996200947,0.309811165911885,0.342715988202043,0.154718859580476,0.0970411153637163
0.0440878252217966,0.062083180918685,0.0612214469144322,0.0976538999506786,0.237808599610206,0.331021806826758,0.344268775368278,0.372435404723487,0.214074132687285,0.148408673428866
0.0581771456054556,0.0958219484264828,0.0652898520049121,0.118133037244171,0.1874878304856,0.186572244744617,0.220228638500057,0.218296593634701,0.255222927910856,0.168515548298511
0.058603547775616,0.0878530661901622,0.0606198128144698,0.119685611550594,0.168840162477799,0.18393046960504,0.192979491444886,0.209136107303829,0.239978293877187,0.167019809074324
0.0570125874374163,0.0855096753392166,0.0627637850092973,0.109129356417622,0.18249979431522,0.186406010316734,0.195051330097556,0.211522246366035,0.228876516232686,0.160645558685186
0.0541119096711216,0.0931835473213267,0.0614702425586043,0.121609747239651,0.214513502221915,0.244975412501646,0.257669799545915,0.24515569866174,0.255535376428734,0.149734403153161
0.0465439406743492,0.0828173125260913,0.0482200753602195,0.112608917628728,0.277079780093899,0.324167735387886,0.319889400119952,0.343782891763403,0.247485577725643,0.139272549284076
0.0549315205514182,0.0894354840382588,0.059326292284792,0.112882277277058,0.254938249435553,0.279393693078246,0.298105852535452,0.328030255928541,0.259011257499929,0.157201437842059
0.0602890942738358,0.0903351233674558,0.0621153966905028,0.12380958692546,0.236268970744378,0.255825689467407,0.261446299742855,0.265068975385491,0.257347391065206,0.168094638384933
0.0341227118162551,0.0609393331498102,0.0351198162050464,0.0859920845654002,0.26044116408499,0.330054112385989,0.354236869856594,0.339207101500158,0.219748742457773,0.110574492047586
0.0557084517755171,0.0818644238345257,0.0622682677919835,0.105736004473184,0.151814911959944,0.158463673469636,0.174111532431573,0.179212375407861,0.230286930233719,0.16770573196052
0.0638554906460468,0.0921996412253658,0.0653922467354449,0.134187310806126,0.223064753460756,0.249838183964915,0.259492922059195,0.271127328064657,0.250452045151518,0.171222486564759
0.0578607504371914,0.0954808225338332,0.064311552546544,0.128173190598197,0.237408212623196,0.286820168520694,0.304519768721698,0.307894419206477,0.263332352826566,0.173286912115367
0.0545302290785162,0.0884765179791156,0.0608644378282808,0.122504815517572,0.254161427597695,0.299530590776157,0.317666195903097,0.313168557995578,0.259523805470022,0.163348421612648
0.0201575358888952,0.0381301771890221,0.0182092208459803,0.0579541045326418,0.212931600387022,0.327569635402481,0.318907714513219,0.356162824440848,0.152843192497856,0.0670852592678074
