system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,.geo
00000000000000007b5f_0,3917,3586,355,767,1984,2339,2508,2572,2699,2602,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007b63_0,2048,1199,337,581,468,955,2145,2541,2561,2819,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007b65_0,2888,1985,462,716,727,1312,2553,2998,2878,3132,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007b6c_0,3319,2642,767,1283,1901,2145,2219,2361,2629,2560,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007b74_0,4223,3911,591,1044,2508,2925,3187,3231,3284,3147,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007b78_0,2029,1663,537,846,1058,1234,1466,1568,1460,1590,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007b7a_0,2874,2014,430,731,856,1349,2196,2494,2372,2589,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007b81_0,3579,2821,447,930,1973,2354,2643,2781,2935,2886,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007b85_0,1546,597,153,404,170,737,2812,3676,3764,4059,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007b8e_0,2927,1826,548,698,641,1038,1743,2108,2075,2333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007b94_0,3175,2680,710,1026,1212,1671,2390,2752,2822,2899,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007b9a_0,2665,1837,608,861,871,1483,2467,2802,2772,3151,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007b9c_0,3666,3007,920,1338,1588,2175,2829,3096,3132,3338,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007ba3_0,2308,1580,378,661,907,1414,1904,2142,2276,2272,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007bab_0,3237,3002,329,711,1799,2034,2227,2238,2311,2191,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007baf_0,1783,1643,678,1000,1572,1701,1755,1804,1855,1827,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007bb1_0,3818,3166,952,1502,2157,2558,2793,2899,2871,3001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007bb8_0,3227,2957,740,1106,1424,1753,2163,2317,2342,2377,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007bbc_0,1657,659,261,459,224,735,2420,3111,3113,3359,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007bbe_0,3907,2985,703,993,1475,1790,2040,2225,2304,2476,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007bc0_0,4350,4095,313,690,1840,2126,2275,2432,2513,2512,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007bc5_0,3745,2522,837,1260,1458,2232,3049,3436,3554,3772,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007bcd_0,4147,3701,454,917,2325,2743,2928,2996,3130,2999,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007bde_0,2151,1568,371,653,818,1281,2297,2535,2385,2493,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007be0_0,1845,1039,341,552,470,781,1795,2202,2378,2456,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007be2_0,2295,1742,433,714,1108,1403,1713,1780,1869,1781,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007bed_0,3752,2832,592,1174,1749,2342,3013,3191,3221,3283,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007bf5_0,3458,2726,757,1118,1257,1797,2768,3045,3048,3307,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007bfc_0,4057,3560,958,1457,2097,2450,2683,2865,2746,2925,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c00_0,2561,2334,848,981,1136,1260,1326,1521,1574,1747,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c04_0,3159,2791,386,752,1720,1994,2198,2293,2382,2299,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c08_0,2480,2285,745,1206,1766,1969,2065,2132,2154,2165,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c0a_0,5035,4464,692,1284,2469,2952,3422,3703,3626,3681,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c11_0,3628,3230,485,793,1664,2050,2523,2621,2733,2639,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c17_0,4146,3935,975,1487,2105,2430,2740,2853,2897,2970,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c19_0,3047,2752,239,617,1623,1833,1936,1927,1968,1836,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c26_0,4511,3986,662,1120,2570,2966,3205,3349,3427,3331,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c2a_0,1696,779,233,531,322,932,2456,2793,2891,3024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c33_0,3895,3148,936,1683,2100,2760,3446,3632,3624,3729,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c37_0,3283,2735,535,837,1430,1798,2111,2302,2174,2442,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c3b_0,2764,2282,211,442,998,1113,1236,1303,1245,1223,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c3f_0,3174,2867,1474,1950,2447,2752,2764,2864,2775,2701,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c41_0,5066,4780,771,1429,3028,3311,3461,3713,3922,3758,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c48_0,3341,2233,819,1359,1945,2158,2293,2385,2440,2459,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c4c_0,1833,810,182,746,236,1041,3920,4678,4522,4919,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c55_0,3800,3285,581,1056,1751,2111,2448,2633,2933,2793,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c5d_0,2270,1705,321,676,1372,1586,1716,1808,1858,1766,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c61_0,1382,565,190,429,229,755,2322,2801,2758,3057,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c6a_0,4911,4302,542,947,2280,2828,3215,3289,3311,3343,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c6e_0,2534,1605,382,688,577,1240,2917,3572,3788,4000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c70_0,2260,1615,510,754,733,1157,1875,2174,2155,2456,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c72_0,1714,1272,293,569,1033,1244,1498,1565,1686,1573,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c77_0,2522,1347,460,962,631,1473,3127,3568,3638,3928,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c7d_0,3898,3028,950,1354,1735,2187,2592,2893,2937,3104,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c7f_0,4933,4287,621,1245,2817,3330,3437,3562,3595,3477,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c83_0,1494,773,85,316,206,655,1762,2022,2319,2254,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c85_0,3869,3378,800,1180,1594,2075,2494,2617,2719,2854,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c8c_0,3500,2959,475,837,1403,1732,1921,2053,2121,2151,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c90_0,1335,554,141,318,181,577,2117,2780,2812,3097,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c94_0,3441,3087,353,839,2020,2182,2288,2253,2411,2293,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007ca1_0,2651,2126,577,853,1144,1488,2033,2181,2368,2342,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007ca7_0,2868,2158,311,590,1051,1504,2129,2335,2451,2571,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007ca9_0,5145,4650,518,1105,2543,2846,3237,3372,3610,3309,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007cb6_0,4779,4519,449,997,2623,2970,3222,3279,3414,3310,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007cba_0,2256,1481,537,757,703,1099,1937,2244,2249,2429,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007cc3_0,4953,4004,1422,2267,3315,3724,3851,4083,4278,4262,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007cc9_0,1983,975,328,552,410,900,2043,2387,2402,2620,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007cdc_0,1413,689,241,597,349,1063,2471,2944,3107,3310,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007cf1_0,1256,1132,533,716,937,1148,1296,1365,1317,1345,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007cf3_0,5472,5051,1981,2709,3838,4290,4484,4660,4622,4772,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007cfa_0,4638,4130,564,977,2287,2841,3239,3326,3345,3388,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007cfe_0,1545,660,197,411,173,765,2871,3748,3561,3873,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d02_0,3532,3373,321,681,1402,1571,1720,1754,1765,1696,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d07_0,1863,1267,294,421,448,731,1287,1473,1447,1645,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d0f_0,4279,4099,680,1116,2270,2522,2634,2698,2953,2871,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d13_0,1849,998,208,514,377,1008,2482,2841,2972,3155,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d15_0,4150,3420,945,1429,1889,2384,2905,3168,3180,3407,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d1c_0,4514,3948,1010,1793,2578,3007,2957,3040,2994,3087,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d20_0,1899,1231,387,601,622,998,1816,2155,1989,2298,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d24_0,3299,2735,368,669,1455,1762,1956,1991,2105,2110,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d28_0,2776,2502,991,1429,2129,2277,2328,2378,2430,2371,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d31_0,4500,4215,668,1066,2134,2641,2833,2942,3130,3176,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d35_0,2585,1537,396,689,621,1241,2890,3330,3425,3628,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d39_0,3158,1998,312,843,1758,2065,2181,2275,2369,2333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d3e_0,2554,1987,264,523,853,1153,1510,1670,1895,1889,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d46_0,3545,2919,411,900,2055,2419,2655,2708,2869,2746,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d4a_0,1891,1115,279,546,490,1024,2377,2714,2703,2894,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d4c_0,3264,2563,711,1079,1397,1748,2079,2222,2285,2355,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d53_0,5171,4326,489,1063,2709,3279,3672,3708,3967,3839,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d57_0,1762,784,296,623,257,974,3906,4896,5135,5067,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d60_0,2244,1517,361,542,785,1185,1651,1807,2035,2107,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d66_0,2606,1733,420,739,949,1440,2132,2304,2377,2540,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d6c_0,1735,910,342,682,432,1156,2596,2832,2867,3000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d7d_0,3067,2561,307,665,1512,1746,1876,1894,1933,1910,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d81_0,2747,2550,1181,1582,1934,2022,2064,2122,2086,2038,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d83_0,3876,3553,1068,1534,2119,2365,2624,2697,2801,2837,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d8a_0,4424,3910,648,1123,2104,2651,3441,3607,3627,3646,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d90_0,1924,1058,298,548,403,906,2437,2782,2762,2925,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d97_0,2047,1032,458,725,527,1207,2996,3419,3712,3659,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d9f_0,3172,2822,518,837,1763,2082,2381,2519,2665,2534,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007da5_0,2896,2239,462,857,1018,1410,1956,2198,2298,2354,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007db0_0,2542,1641,548,1072,1277,1981,2547,2731,2863,3133,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007db4_0,2712,2444,231,533,1309,1465,1667,1632,1768,1758,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007dc1_0,4401,4188,386,886,2436,2838,2968,3074,3128,3017,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007dc5_0,1623,777,273,661,356,1021,2598,2995,2937,3161,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007dc7_0,2191,1337,421,603,535,930,2037,2380,2355,2534,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007dce_0,2933,2418,796,1134,1398,1957,2396,2570,2521,2708,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007dda_0,1428,700,184,361,223,637,1739,2108,2205,2333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007ddc_0,5064,4480,802,1394,2543,3092,3763,3957,3968,4065,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007de3_0,5362,4981,623,1071,2638,3218,3638,3742,3823,3695,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007de7_0,2041,973,338,754,469,1228,3024,3370,3558,3637,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007de9_0,2103,1218,415,692,647,1062,2011,2313,2472,2608,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007deb_0,4193,3728,613,1149,2288,2624,2783,2913,3001,2941,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007df0_0,3317,3082,672,815,1103,1282,1371,1534,1590,1787,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007df6_0,3408,2546,774,1190,1404,1847,2534,2719,2923,3063,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007df8_0,4397,4116,449,885,2358,2748,2873,2900,2991,2901,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007dfe_0,4102,3325,901,1449,1762,2416,3878,4364,4485,4631,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e05_0,4438,3335,674,1103,2039,2322,2487,2520,2574,2500,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e09_0,1176,492,189,315,179,544,2002,2754,2840,3044,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e0d_0,2837,2399,438,711,1489,1741,1877,1880,1840,1788,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e13_0,2445,2292,673,1040,1402,1636,1884,1978,2035,1980,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e1a_0,5399,5230,535,946,2798,3358,3554,3614,3632,3535,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e1e_0,1736,853,300,513,333,852,2147,2645,2591,2835,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e22_0,3499,2812,220,510,1278,1599,1859,1975,2055,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e2f_0,2764,2153,388,673,1277,1609,1792,1854,1901,2037,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e33_0,1504,784,359,507,328,737,1945,2338,2281,2518,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e35_0,3423,2883,784,1106,1497,1722,1870,1900,1967,2133,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e40_0,1654,860,305,575,409,1058,2376,2751,2937,3056,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e44_0,3246,2712,224,527,1368,1583,1741,1780,1838,1691,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e49_0,1804,962,225,419,443,875,1813,2127,2263,2342,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e51_0,2693,2232,401,678,1230,1564,1727,1862,2019,2034,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e55_0,1847,876,186,629,306,1109,3008,3538,3602,3851,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e57_0,2286,1615,628,821,918,1231,1693,1862,1869,2041,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e5e_0,2552,2065,620,855,1178,1522,1835,1953,2021,2056,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e66_0,3141,2827,360,730,1644,1984,2097,2149,2171,2132,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e6a_0,2329,1711,495,816,777,1290,2312,2555,2578,2667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e6c_0,4476,4028,932,1399,2241,2789,3212,3420,3363,3443,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e73_0,4765,4271,556,929,2176,2792,3229,3429,3338,3402,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e77_0,2228,1224,364,680,676,1262,2554,2989,3004,3156,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e79_0,2638,1631,471,724,731,1232,2151,2472,2461,2798,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e7b_0,5244,4704,776,1577,3021,3513,3616,3730,3877,3806,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e80_0,2118,1281,330,568,613,1088,1803,2084,2404,2429,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e88_0,4348,4371,355,891,2597,2981,3169,3180,3321,3140,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e8c_0,1367,716,221,429,317,735,1535,1827,1933,1961,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e99_0,1711,1127,423,693,633,926,2064,2326,2339,2615,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007e9d_0,3385,2918,304,781,1882,2116,2333,2382,2386,2237,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007ea1_0,3046,2621,863,1401,2157,2286,2377,2459,2505,2432,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007ea3_0,2069,1814,545,883,1343,1467,1479,1554,1616,1542,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007eaa_0,4289,4300,532,1094,2592,2933,3113,3162,3353,3230,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007eae_0,1882,864,207,466,321,886,2693,3192,3433,3498,"{""type"":""MultiPoint"",""coordinates"":[]}"
