system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,.geo
0000000000000000009b_0,464,449,4808,5016,5028,4647,4196,4122,4012,3721,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ad_0,2413,2376,5459,5585,6345,6675,6612,6479,6732,6524,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd_0,2276,1799,409,837,1000,1025,1314,1408,1518,1577,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c2_0,1529,1586,7460,7008,7624,8342,8246,8096,7912,7951,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ca_0,1928,1820,545,785,937,1071,1058,1173,1186,1211,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e7_0,2592,2332,792,1064,1218,1386,1595,1497,1354,1635,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ec_0,5210,4598,1722,2790,3374,3605,3631,3719,3874,3836,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f4_0,2498,2331,999,1464,1744,1794,1809,1836,1980,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc_0,386,421,8123,7703,7832,8746,8153,7704,7520,7581,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000106_0,2560,2427,136,781,1474,1621,1707,1797,1824,1828,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000128_0,2561,2503,749,1204,1522,1701,1747,1868,1970,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000133_0,1514,1253,616,926,1130,1027,1075,1199,1498,1148,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000138_0,3744,3288,1086,1460,1794,2038,2208,2312,2464,2560,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013a_0,2175,1878,906,966,1017,943,1061,1330,1268,1226,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000177_0,3007,2469,797,1184,1382,1765,1931,2048,2108,2226,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001a1_0,961,910,60,327,453,782,733,720,649,787,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001a6_0,2259,1936,415,476,653,794,894,987,1070,1094,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001aa_0,1791,1792,607,763,855,962,942,1018,998,1045,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c3_0,1100,1250,9360,9424,9400,9578,9114,8628,8840,8268,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ca_0,2567,2056,511,770,814,1027,1112,1177,1388,1337,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d0_0,2723,2492,517,736,903,1066,1121,1230,1352,1488,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001df_0,1502,867,165,290,477,700,907,1207,1810,1472,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000203_0,117,114,5044,5104,4876,5731,4361,4044,3196,3408,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000207_0,3990,3814,1516,2010,2334,2511,2544,2629,2714,2687,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000211_0,1240,862,1,153,334,584,778,908,1039,1145,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000229_0,4362,3648,1085,1421,1712,1910,1891,2069,2204,2447,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000235_0,2585,2430,1368,1720,1898,1930,1976,2014,2046,1935,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000236_0,1852,1661,1,152,565,783,863,1048,1152,1173,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000023e_0,2084,2051,1077,1294,1481,1532,1535,1585,1606,1620,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025b_0,3913,3413,761,1598,2363,2437,2524,2549,2750,2566,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025c_0,2371,2020,849,820,913,1026,1008,999,1086,1127,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000275_0,1609,1479,2660,3206,3682,7306,6789,5744,3448,5570,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000027e_0,2043,1837,567,584,645,769,740,696,722,712,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000029f_0,4064,3564,909,1730,2304,2385,2413,2537,2662,2507,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a1_0,622,660,9440,9336,9320,9498,9244,8935,9088,8575,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a8_0,2896,1937,491,634,752,991,1198,1387,1502,1678,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ba_0,2743,1651,402,634,771,1290,2050,2339,2614,2740,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c3_0,1338,1260,1033,1121,1080,937,1014,937,1259,864,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ca_0,2036,1173,319,633,730,1298,2160,2485,2808,2991,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ce_0,168,153,9463,9278,8887,9066,8357,7730,7507,6902,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d6_0,981,1062,9328,9424,9664,9898,9597,9416,9680,9116,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d7_0,2201,1374,300,534,626,1063,1409,1611,1912,1957,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002dc_0,2129,1247,238,554,881,1382,1793,2186,2548,2816,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002df_0,2337,1848,691,1001,1116,1466,1668,1805,2018,1970,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002f0_0,2125,1596,839,1160,1442,1703,1714,1855,1884,1961,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002fe_0,1965,1297,338,571,711,1043,1597,1769,2204,2042,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000301_0,2235,1333,270,553,598,1227,2054,2307,2602,2741,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000030d_0,917,482,1,210,295,536,879,1041,1390,1396,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000312_0,2260,2215,752,979,1062,1083,1123,1147,1212,1130,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000338_0,2598,1441,318,617,662,1221,2276,2664,2956,3125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000035a_0,3137,1708,527,830,816,1507,2810,3265,3562,3690,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000035e_0,2780,2482,1044,1298,1400,1598,1600,1694,1698,1816,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000367_0,2358,1329,292,564,610,1103,1801,2114,2402,2522,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000036f_0,3403,1806,502,847,818,1593,2762,3142,3606,3722,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000373_0,2967,2522,991,1296,1492,1636,1743,1861,1938,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000037b_0,2989,2143,797,1086,1168,1489,1816,2000,2204,2293,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000037c_0,2783,1681,78,398,667,1041,1451,1710,2114,2277,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000380_0,4152,3110,1544,2004,2432,2531,2584,2641,3074,2808,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000389_0,2232,1263,481,687,677,1157,2101,2445,2510,2877,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000038a_0,1916,1314,329,729,1028,1350,1313,1598,1579,1572,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000391_0,2201,1142,186,618,495,1351,2846,3273,3704,3749,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000395_0,2631,2009,407,717,992,1251,1404,1537,1574,1648,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000396_0,1227,729,475,550,639,1025,1419,1691,1862,2144,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003a2_0,3747,3225,1398,1948,2370,2309,2228,2407,2706,2355,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003b3_0,2503,1395,441,727,702,1346,2326,2642,3040,3110,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003c8_0,2507,1330,393,714,604,1417,2720,3117,3350,3561,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003cc_0,2230,1377,406,569,709,986,1476,1675,2094,2112,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003d5_0,2765,1589,783,902,1001,1451,1950,2219,2490,2668,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003d9_0,876,810,267,396,533,413,404,406,565,459,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003e2_0,2255,1236,366,602,617,1200,2031,2269,2402,2566,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ea_0,2497,1290,418,697,606,1403,2509,2862,2950,3308,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003f7_0,2426,1318,263,569,659,1315,1949,2172,2378,2508,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ff_0,2333,1171,626,768,689,1307,2244,2624,2818,3101,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000403_0,2700,2017,644,830,951,1263,1554,1650,1870,1965,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000404_0,2503,1404,300,636,758,1432,2123,2389,2624,2736,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000410_0,5083,3855,1200,2108,2510,2822,2919,3103,3328,3459,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000414_0,2239,1242,393,641,659,1206,1885,2146,2336,2584,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000419_0,2283,1214,194,520,487,1181,2304,2621,2896,2936,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000041e_0,3901,2306,805,1210,1584,2101,2609,2923,3472,3563,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000421_0,2142,1059,408,620,547,1037,2438,2790,2934,3024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000042d_0,2660,2030,605,873,1046,1282,1546,1641,1886,1933,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000436_0,2860,1502,257,684,716,1491,2381,2738,3010,3225,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000043b_0,2362,1231,346,594,544,1089,2283,2528,2768,2789,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000442_0,1728,1069,219,397,466,929,1309,1472,1664,1860,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000443_0,2188,1096,264,521,449,1068,2023,2275,2522,2548,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000044b_0,2805,1566,458,757,865,1468,2375,2642,2890,3049,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000044f_0,2271,1892,533,672,813,962,1064,1196,1158,1327,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000455_0,2039,1222,789,817,915,1298,1745,1919,2028,2177,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000458_0,2619,1446,418,745,658,1368,2369,2818,2986,3256,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045c_0,4152,3661,1792,2294,2524,2746,2798,2953,3122,3134,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045d_0,1707,893,236,430,301,720,1615,1810,2050,2049,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000460_0,1890,1150,120,334,386,735,1263,1449,1638,1835,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000464_0,2107,1483,451,623,749,1096,1195,1248,1506,1551,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000465_0,2160,1202,348,537,536,1072,1663,1885,1898,2226,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000472_0,2164,1139,435,689,590,1161,2095,2350,2534,2599,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000477_0,3138,1895,175,439,859,1164,1379,1652,1986,2162,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000047c_0,2751,1528,213,452,572,1331,1993,2272,2778,2791,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000047e_0,3541,2647,1044,1444,1730,2121,2343,2487,2662,2822,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000047f_0,2290,1230,262,551,551,1160,2077,2377,2646,2744,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000486_0,2237,1695,380,631,815,1271,1370,1555,1664,1758,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000487_0,2046,1788,514,616,728,819,980,1013,1222,1142,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000048a_0,2907,1599,386,623,623,1178,2216,2559,2858,2988,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000048b_0,3815,3323,1118,1676,2026,2196,2220,2377,2622,2571,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000048c_0,2744,1523,489,753,812,1348,2354,2664,2890,2953,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000048f_0,3127,1613,496,706,883,1643,2382,2636,2832,3110,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000494_0,1875,926,253,500,395,894,2195,2350,2614,2683,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000497_0,2269,1235,371,542,553,993,1969,2311,2458,2628,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000049c_0,1418,768,178,320,422,752,1123,1303,1300,1441,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004a1_0,3047,1649,607,894,941,1604,2461,2762,2942,3156,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004a4_0,1707,864,314,484,377,873,1712,1993,2148,2162,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004a9_0,1898,1050,292,462,451,945,1456,1554,1672,1799,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004aa_0,2647,1900,404,498,719,1073,1303,1458,1708,1756,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004ad_0,398,351,11473,11148,10548,10661,9488,8802,8705,7624,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004ae_0,2701,1678,232,480,777,1065,1308,1556,1946,2104,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004b6_0,2836,1451,434,684,631,1253,2618,3029,3098,3404,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004bb_0,1031,541,142,365,501,1080,1797,2094,2324,2375,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004bd_0,2613,1652,323,618,741,1186,2048,2431,2744,2704,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004be_0,2851,1700,705,924,1009,1465,2192,2485,2670,2926,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004c2_0,3414,2846,1112,1342,1506,1650,1885,2015,2326,2238,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004c3_0,3092,1903,836,1098,1230,1740,2232,2411,2546,2695,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004cd_0,2374,1287,370,605,697,1257,2085,2314,2640,2745,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004cf_0,1089,1255,9383,9448,9408,9333,9098,8597,9135,8289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004d3_0,1816,915,255,432,358,823,1800,2003,2184,2173,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004d8_0,2645,2290,869,1444,1668,1942,2260,2496,2054,2633,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004db_0,2617,1554,305,512,706,1130,1600,1840,2154,2248,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004de_0,2421,1494,446,632,612,1068,1763,2037,2298,2272,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004e0_0,2039,1315,1,289,573,982,1313,1511,1600,1886,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004e5_0,2081,1221,70,415,661,1277,1822,2053,2300,2481,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004e8_0,2524,1397,452,668,656,1216,2304,2547,2792,2877,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004ed_0,2338,1334,330,556,653,1190,1818,2019,2148,2254,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004f0_0,2243,1208,396,592,641,1330,2234,2613,2868,3150,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004f5_0,2876,2024,887,1050,1096,1463,1733,1906,2084,2242,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004f9_0,2947,2104,715,918,1073,1226,1589,1710,1929,1976,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004fa_0,2153,1186,234,547,700,1473,2301,2562,2910,2941,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000500_0,2991,1932,866,1190,1390,1772,2846,3096,3428,3476,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000501_0,2284,1403,285,661,610,1254,2575,2865,2944,3079,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000502_0,1862,969,347,540,474,892,1705,1824,1930,2039,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000506_0,175,204,10275,9753,9249,9280,8630,7838,7833,7206,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000050a_0,2239,1139,385,680,572,1338,2469,2839,3200,3244,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000050e_0,2260,1557,138,467,528,1105,1868,2074,2338,2488,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000050f_0,1970,1094,265,515,595,1256,1935,2142,2358,2343,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000514_0,1413,861,151,306,397,1020,1446,1707,1594,2115,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000517_0,2764,2070,822,954,1034,1315,1637,1814,1786,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000051b_0,1289,1260,7124,7120,6972,6937,6594,6328,6664,6284,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000051f_0,2772,1485,866,1032,863,1468,2714,3064,3278,3433,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000524_0,2830,1545,537,689,612,1155,2186,2500,2810,2863,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000528_0,261,212,644,718,628,624,581,517,491,375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052c_0,2889,1885,434,661,868,1144,1397,1580,1832,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000531_0,264,201,9831,9567,9032,8685,8224,7494,7924,6853,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000537_0,2701,1608,483,606,767,1138,1668,1822,2080,2159,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000539_0,1704,1061,1,26,326,617,900,1034,1178,1239,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000053c_0,2187,1164,286,545,441,1216,2528,3013,3228,3470,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000053e_0,2288,1180,393,665,565,1153,2384,2618,2864,2889,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000541_0,1725,1324,512,651,786,950,1086,1183,1238,1299,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000546_0,2299,1239,385,525,527,1048,1985,2258,2446,2593,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000548_0,2037,1161,406,578,613,1131,1877,2085,2408,2458,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000054b_0,1316,785,257,451,534,875,1392,1605,2020,2029,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000054e_0,2039,1091,293,547,502,921,1925,2126,2410,2410,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000558_0,2283,1354,286,506,631,1207,1933,2186,2392,2616,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000559_0,2320,1537,529,650,823,1391,2031,2240,2522,2449,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000055a_0,2328,1393,382,531,578,851,1392,1612,1858,1927,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000055d_0,2402,1220,323,630,637,1343,2518,2855,3160,3134,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000560_0,1953,1042,313,493,442,872,1749,1934,2096,2157,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000567_0,2082,1364,272,564,628,888,1373,1537,1848,1906,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000568_0,1878,1532,396,507,548,563,655,737,954,939,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000056a_0,2192,1095,269,537,530,1277,2672,3029,3354,3477,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000056b_0,2258,1225,418,692,674,1304,2169,2444,2598,2839,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000056f_0,823,862,8623,8473,8568,8580,8310,8070,8664,8090,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000570_0,2346,1517,731,886,812,1119,2154,2410,2042,2611,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000575_0,2897,1594,630,868,909,1508,2491,2688,2888,3038,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000578_0,2378,1510,639,825,815,1274,1743,2026,2120,2292,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000057a_0,2288,1343,95,235,555,1076,1452,1721,2088,2242,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000057d_0,1800,1028,334,487,408,868,1723,1970,2218,2277,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000057f_0,2020,1042,280,524,500,1019,2072,2352,2562,2596,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000582_0,2790,1588,413,723,852,1479,2306,2617,2894,2964,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000584_0,1902,1350,452,650,714,1219,1619,1773,1808,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000585_0,2023,1322,147,397,614,815,1057,1278,1464,1633,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000058c_0,976,643,73,177,225,402,454,584,682,715,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000591_0,2247,1665,537,730,893,1109,1418,1536,1658,1742,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000592_0,1724,928,123,448,469,1144,1720,1905,1930,2155,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000594_0,2739,1511,315,519,723,1119,1468,1748,2024,2148,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000595_0,2575,1350,452,781,721,1444,2512,2945,3172,3501,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000597_0,2322,1369,357,561,556,1059,1834,2002,2386,2278,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000599_0,1322,689,221,330,283,817,1441,1576,1580,1673,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000059f_0,1821,895,239,468,241,751,2086,2279,2532,2526,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a1_0,2153,1227,289,478,740,1199,1792,2063,2286,2405,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a4_0,1703,931,543,797,759,1236,1892,2178,2924,2363,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a7_0,2044,1169,355,541,352,885,2261,2555,2956,2739,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005ab_0,936,770,2433,2550,2988,5151,5432,4574,3253,4818,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005ac_0,2391,1238,305,595,493,1168,2348,2607,2652,2875,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005af_0,2442,1411,675,858,892,1311,2225,2455,2592,2716,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005b1_0,2358,1210,378,684,551,1309,2729,3065,3356,3343,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005b3_0,3462,2763,1044,1342,1510,1747,2049,2162,2254,2402,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005b6_0,2141,1085,305,594,571,1283,2600,2906,3228,3240,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005b8_0,2540,2366,460,589,699,759,769,860,901,935,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005b9_0,1848,1003,322,477,364,802,1670,1902,1956,2072,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005bb_0,2265,1376,402,625,593,1056,1722,1908,2236,2252,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005bc_0,2899,1581,412,702,637,1352,2574,2967,3166,3365,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005c1_0,2361,1228,457,775,564,1193,2480,2718,2766,2924,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005c3_0,320,291,4179,4184,4016,4591,4361,4097,3662,3693,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005c4_0,2307,1183,346,721,591,1332,2370,2721,2884,3094,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005c6_0,2483,1318,505,821,740,1331,2666,3023,3188,3307,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005c7_0,1405,753,138,284,282,697,1451,1675,1812,1903,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005c8_0,2179,1525,587,797,883,1223,1625,1760,1694,1909,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005c9_0,1525,866,210,415,339,760,1489,1689,1676,1791,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005cd_0,1568,1327,162,326,487,789,811,883,628,1079,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005d1_0,1757,826,217,555,344,963,2313,2594,2872,2954,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005d6_0,1443,726,138,345,209,562,1621,1822,1888,1923,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005d8_0,2025,1211,373,540,630,1113,1657,1903,2042,2314,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005d9_0,2668,1734,396,582,733,1161,1754,1894,2160,2285,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005db_0,2086,1134,292,468,473,996,2049,2227,2554,2529,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005dc_0,873,516,267,354,200,602,1285,1570,353,1553,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005dd_0,3087,2639,1354,1558,1776,2083,2231,2396,2496,2558,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005de_0,2413,1336,278,521,489,1042,1835,2025,2120,2306,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005e3_0,1513,793,186,385,243,674,1677,1890,1854,2039,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005e5_0,1890,1034,293,538,586,1028,1436,1656,2664,2195,"{""type"":""MultiPoint"",""coordinates"":[]}"
