B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
0.0670961994475342,0.121627247646917,0.0527663988547798,0.162973432419641,0.283298211115096,0.308654386821985,0.327561471649338,0.350561025868627,0.281802596111497,0.153122914968661
0.0117338275093148,0.0259799051880549,0.0092870651801621,0.0469396451452083,0.13020738929231,0.18649680405034,0.212504719825703,0.224021848826279,0.0779382760762403,0.0227960716097941
0.0253076481070444,0.0512796059729034,0.0284101191992388,0.071798678641134,0.211083802261406,0.270798126535458,0.304643033000064,0.296012257276457,0.156925797901579,0.0689462342791809
0.0233610256062726,0.0480418879290487,0.0267346465246656,0.0665588299450762,0.220270572698262,0.291439766182005,0.310534607742989,0.317665245386314,0.147818029220101,0.060368655951871
0.0398820348964329,0.078653155736609,0.0489158581695174,0.102204708417099,0.158707289106064,0.171600252487707,0.187554522070803,0.192244721431969,0.189535779134393,0.10277740415668
0.12109115932574,0.155281315797472,0.155100371564246,0.175407549430879,0.190110452349943,0.197393900450762,0.193527197663787,0.224292299407133,0.227194567753092,0.134528696680799
0.0309615891290238,0.0496460309234133,0.0403879814341633,0.0722921507472605,0.125481069061007,0.123400098564744,0.138676725672236,0.146510302761971,0.177883379760703,0.118615220843137
0.0109591176559831,0.0285210500035637,0.008365579926708,0.0456961604205592,0.175304043776564,0.228646706780641,0.263819900326349,0.271215822131091,0.12649673735239,0.044088372396044
0.0276595542428749,0.0607068775347212,0.0309959495969931,0.0959494179348825,0.2652411570217,0.353707504864248,0.378776526274781,0.376256838991922,0.312022905574042,0.15719488782496
0.0322452714770632,0.0558786028087757,0.0328604993935745,0.0820474804371582,0.226764446364338,0.276713322407338,0.307512622902062,0.303545984842742,0.165704196216911,0.0787627614354729
0.0289377809880055,0.035212928826265,0.0374789965792627,0.0488619175115708,0.071218528027674,0.0763217586833067,0.0930125302327642,0.0947601313396568,0.163608836171024,0.118820421557981
0.0224987435779509,0.040943360177047,0.0272710240094887,0.0665955301861192,0.167741821361805,0.231390714299705,0.273986543654867,0.317122041597702,0.275004961240993,0.145584389876119
0.0209131223775141,0.0418642410621949,0.0243798587679682,0.0657279119162111,0.224786343669036,0.3321595916831,0.378073262730107,0.413897468820692,0.47122812638296,0.343382638024196
0.0332162383135944,0.0514730386692874,0.0420115152263067,0.0761217670384914,0.166237069074974,0.200216039826903,0.203457898075763,0.205284027928113,0.159583972007601,0.0845033417624994
0.0391199277853344,0.0595579911809255,0.0435006437403777,0.0802346647306851,0.176850739861642,0.202061256193456,0.205074363856149,0.215701859534684,0.179445383790384,0.0916538743417507
0.0336785194736879,0.0465102191582902,0.0402347096819942,0.0662956026538721,0.176680954773532,0.213244310275205,0.226891673872279,0.219745154069537,0.196184985594778,0.107169459397385
0.0364311571499105,0.0651170732041987,0.0428308958344509,0.0925604571673168,0.238838276704934,0.278376354105788,0.303810772968378,0.291647277435562,0.249631890711897,0.131924092267973
0.0342069653692867,0.0524460478999437,0.035307225835914,0.0766903764076851,0.249315768752347,0.343096572366126,0.336154895877527,0.367139596899067,0.24502647001318,0.119200848875534
0.047672011957663,0.135287745708366,0.0718395252969331,0.185520018161334,0.306167512071704,0.33454444740189,0.337880129620882,0.339419101007772,0.273872242770022,0.144687045345305
0.0384568801607163,0.0683419041873078,0.0419664997193689,0.101133953327732,0.229968057121875,0.285123799327077,0.299985113814344,0.304170906928473,0.266090070952699,0.155564306720965
0.0324219697332131,0.0850185503702981,0.0397468194345214,0.122716596533771,0.299875876601806,0.326687444619078,0.363402496265092,0.366648614322386,0.279307203757702,0.138114414692526
0.035028135371917,0.0544260590720764,0.0384397916222511,0.0785781504346467,0.167133891324454,0.201275693102903,0.191089815274903,0.206100991654258,0.205236262358631,0.125746450402171
0.0291192601903714,0.0504407647459187,0.0360101482678291,0.0693989561157344,0.200591684318494,0.244593937932638,0.258852046145841,0.257388806131456,0.169171206992339,0.0899202170796704
0.0330871186999912,0.0609727574999118,0.0363345479468833,0.0916582360729766,0.204508014417261,0.2448790693432,0.255412497452048,0.264934134398366,0.162863805562666,0.074436355549219
0.0344288000008517,0.09260021677225,0.0347052008674745,0.135547839422435,0.248965437564039,0.29351540821558,0.306317578888897,0.321006935149184,0.181797182981266,0.0705020714283705
0.0258785921921261,0.0465869672207449,0.0243448699772655,0.0689403995470992,0.216916367899159,0.276978715109955,0.285686854064255,0.30885463410136,0.147549129327928,0.0603038392573975
0.0319479684382415,0.0459654123310507,0.035147517356039,0.0690615986020841,0.174665595064778,0.207060786779394,0.220456330738177,0.206747397148013,0.148326602019832,0.0776847556050054
0.0273706343199376,0.0476885767314489,0.0304705211184686,0.0706699476122755,0.200699529472266,0.241803115642226,0.270420464322755,0.25956137864622,0.132568678913586,0.0601999027864708
0.0373117637054189,0.0686310730527824,0.0383188050074187,0.0953462273435066,0.287091165585832,0.362912463680022,0.369520075263815,0.385545760911088,0.275129972256347,0.143356147391407
0.0295106230526686,0.0386432223070036,0.040272941410257,0.0555992808345285,0.0917300228686827,0.0988282763721124,0.110351723397551,0.112075804520413,0.151642700127558,0.100225020452347
0.0246520825349486,0.0562997097456032,0.027095271740231,0.0919590475295068,0.268043216613992,0.331351903130336,0.347091571965368,0.360377497883542,0.203445923901661,0.0891475367601157
0.0380019264257123,0.0575256492295274,0.0436996777994024,0.0759455299766663,0.174011411117668,0.19789164192754,0.215595890992849,0.209600965797753,0.195421076413843,0.108396302622075
0.0337059755451005,0.0531481746753909,0.0444608859000309,0.0721722357597652,0.117070615894419,0.135668111622659,0.140524186701344,0.150683445058879,0.198135017893567,0.13563925703353
0.0103178594871034,0.0195784747411354,0.0125164738801739,0.0307986226979471,0.137633914496309,0.210611652455551,0.253588513222203,0.2760793058217,0.103969827363736,0.0441940885371159
0.0079552658703508,0.0219524382301032,0.007713553692959,0.0420160171196855,0.12404830620102,0.177317677464389,0.216399421295117,0.205358710027351,0.0947407882639272,0.0303921824338001
0.0279827770324634,0.0558915680359189,0.0349929423638183,0.0866411685359546,0.215381191241919,0.285252688029668,0.283491550607285,0.326592973285751,0.160495227506469,0.0798708401390908
0.0384001583410353,0.0941906322872802,0.0453127708443273,0.123856635828612,0.216894363024336,0.246004378604531,0.247509540399892,0.253119988618163,0.158103246089295,0.0777632202424684
0.0408929410755419,0.0686334844696599,0.0449279418557542,0.0887374143689185,0.152800042986043,0.165959749228919,0.174712464455961,0.169712309306202,0.232457750420877,0.170978708771199
0.0356096335166737,0.0779654662948415,0.0358629170577889,0.118062949980668,0.234886846588727,0.305151374121863,0.325489360034614,0.34887621144619,0.256205808146389,0.113406705773325
0.0343734585331249,0.0710446199614549,0.0418504459778853,0.0992632863450189,0.24225827686386,0.308521144408915,0.293114123681035,0.301959964369213,0.196763676469539,0.0890225141665319
0.041070869512417,0.0652291796805995,0.0447019812053776,0.085846720072994,0.143114713028391,0.162732136549517,0.173276922796178,0.173946333289202,0.155948848049937,0.0905182682852656
0.03006138273572,0.0626686954819244,0.0370264784726041,0.0954363644734303,0.265449429069434,0.310065597757862,0.321997225605351,0.325497193440342,0.179091620077127,0.085154941226442
0.02987583006807,0.0407949870150422,0.0412166888683681,0.0603044998802199,0.0826281892688296,0.0936784639929785,0.105029070965677,0.109622001974023,0.174817269029551,0.116377172331178
0.0168090954338283,0.0411209028366359,0.017167560245464,0.0681460236286779,0.190612822588597,0.267038192513124,0.297666386213204,0.326535833707998,0.21294826329924,0.103978344230851
0.0301565958919758,0.0633464962818128,0.0352126080803594,0.0883582955777405,0.204901773691294,0.235667722031168,0.250868065871924,0.246549458213413,0.166167475727351,0.0742282219779152
0.0298171218736925,0.0580611270627456,0.0320018178034068,0.0909479293737451,0.224579322332599,0.256592015835773,0.276315356248181,0.290462169866664,0.137112695617748,0.0556339695575979
0.058014886930207,0.106217323824398,0.0503439944943886,0.136298888322806,0.226399414634938,0.266126663580308,0.25559670201773,0.278213487002161,0.188257596504908,0.0927235012775752
